atom_type,atom_value,first_seen,last_updated,subcategories,threat_scores,threat_types
domain,teasagaki.ru,2022-01-04T14:23:39Z,2022-03-11T20:07:48Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[21, 14]","['malware', 'phishing']"
domain,teroba.ru,2021-03-11T14:34:43Z,2022-03-04T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[1, 9, 19]","['hack', 'phishing', 'malware']"
domain,tirotar.ru,2022-02-16T10:42:59Z,2022-03-10T15:50:09Z,['Intrusion Set:Gamaredon Group - G0047'],"[21, 30, 16]","['malware', 'ddos', 'phishing']"
domain,tsukiru.ru,2022-02-03T23:45:51Z,2022-03-05T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[19, 17]","['malware', 'phishing']"
domain,tuberci.ru,2021-04-05T15:54:06Z,2022-02-25T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 17]","['phishing', 'malware']"
domain,ua-email.press,2021-03-18T02:23:39Z,2022-03-11T03:52:36Z,[],"[30, 5, 37]","['ddos', 'phishing', 'malware']"
domain,vamparo.ru,2021-07-26T04:02:58Z,2022-02-23T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[1, 17, 11]","['hack', 'malware', 'phishing']"
domain,verify-email.space,2022-02-06T00:59:02Z,2022-03-12T00:22:11Z,[],"[36, 15, 20]","['malware', 'phishing', 'hack']"
domain,vidarri.ru,2022-02-03T23:45:51Z,2022-03-05T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[19, 8]","['malware', 'phishing']"
domain,vositra.ru,2021-07-26T04:02:58Z,2022-03-08T22:47:34Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[20, 22]","['malware', 'phishing']"
domain,zeinar.ru,2022-02-04T04:22:22Z,2022-03-11T16:06:40Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[25, 15]","['malware', 'phishing']"
